"zipcode","latitude","longitude"
"55427,45.02272,-93.36401"
"61421,41.17994,-89.68162"
"16503,42.12750,-80.06120"
"18101,40.59000,-75.47000"
"55105,44.93500,-93.16610"
"91344,34.28020,-118.49800"
"35503,33.91011,-87.26945"
"97907,44.42210,-117.45100"
"11377,40.74390,-73.90530"
"44073,41.49440,-81.34090"
"36753,31.83560,-87.10160"
"S0G 5E0,50.04796,-104.62731"
"83220,42.33210,-111.37200"
"13613,44.85940,-74.70630"
"M5V 1J5,43.64625,-79.39045"
"G8Y,46.35468,-72.58379"
"30294,33.63820,-84.26540"
"04984,44.69660,-70.28070"
"44021,41.37061,-81.06510"
"15012,40.12452,-79.87977"
"13057,43.06000,-76.07000"
"20646,38.54484,-77.07831"
"66209,38.90220,-94.63850"
"02461,42.31820,-71.20870"
"81047,38.12223,-102.31158"
"51546,41.69339,-95.81429"
"06904,41.05370,-73.53900"
"82219,42.38530,-104.33300"
"45840,41.02890,-83.64940"
"20607,38.66920,-77.02670"
"35072,33.09760,-86.10250"
"16050,41.04340,-79.75610"
"H3J 2S9,45.48378,-73.57961"
"12473,42.27300,-74.06920"
"15533,39.96610,-78.25900"
"66420,39.08370,-95.88890"
"65640,37.70410,-93.52050"
"13060,43.02290,-76.42370"
"11053,40.84120,-73.70150"
"55111,44.88476,-93.22228"
"91341,49.66499,10.92266"
"66701,37.83000,-94.70000"
"45772,39.13960,-81.80630"
"P0M 1N0,46.46920,-81.05994"
"30021,33.80190,-84.24360"
"71029,32.84500,-93.81930"
"61725,40.62040,-89.09760"
"17106,40.23150,-76.81950"
"14420,43.24850,-77.93060"
"50151,41.00600,-93.52050"
"56481,46.46710,-94.89010"
"V31 RT44,52.44605,-9.48537"
"74052,36.08540,-96.58280"
"14754,42.02670,-78.19240"
"19010,40.02300,-75.31510"
"60599,41.77230,-88.36060"
"56731,48.92140,-97.09330"
"V8W,48.42842,-123.36564"
"68871,41.09410,-98.89280"
"40280,38.24650,-85.68540"
"27544,36.22737,-78.52194"
"45216,39.19810,-84.48170"
"08320,39.38180,-75.22060"
"47934,40.03900,-86.92150"
"T2G,51.03616,-114.04383"
"24555,37.63000,-79.45000"
"11228,40.61962,-74.00425"
"54650,43.92913,-91.25792"
"K7L 3N6,44.22528,-76.49514"
"60527,41.80000,-87.92000"
"98446,47.13100,-122.37500"
"21794,39.29930,-76.97130"
"98012,47.84020,-122.19600"
"45174,39.15840,-84.31120"
"71209,32.53010,-92.07490"
"65440,37.56910,-91.15440"
"51029,42.86690,-95.59380"
"92326,34.24300,-117.20200"
"25705,38.40380,-82.35970"
"04958,44.85646,-69.89739"
"54413,44.29090,-90.18940"
"N4N 2A1,44.15845,-81.01633"
"26463,39.43500,-80.35390"
"80504,40.15730,-105.00900"
"83435,43.93650,-112.59200"
"51019,42.29820,-95.72900"
"42436,37.34298,-87.51733"
"45306,40.46430,-84.18490"
"94618,37.84300,-122.23900"
"50597,42.95460,-94.48150"
"23276,37.55960,-77.44680"
"31406,31.98466,-81.05206"
"K0B 1L0,45.54122,-74.98859"
"24078,36.72000,-79.91000"
"52656,40.71000,-91.45000"
"48092,42.51340,-83.05900"
"79562,32.25060,-99.89060"
"79704,31.90910,-102.11800"
"72955,35.58780,-94.43550"
"30084,33.85000,-84.22000"
"62478,39.20690,-87.72720"
"30620,33.92540,-83.73050"
"CT15 5JA,51.19325,1.29277"
"61364,41.08503,-88.95619"
"19037,39.90490,-75.38850"
"76860,49.88286,0.94876"
"38063,35.73480,-89.67452"
"M7A 2G1,43.65102,-79.37198"
"33177,25.60070,-80.40750"
"J0E,45.21844,-72.76715"
"23460,36.81170,-76.03060"
"36135,32.38590,-86.14740"
"95938,39.61000,-121.77000"
"20640,38.52360,-77.19130"
"18635,41.03890,-76.17270"
"41647,37.42750,-82.74380"
"82941,42.86439,-110.07099"
"V8Z 1B4,48.44643,-123.37729"
"68954,40.56800,-98.22180"
"61234,41.40900,-89.91460"
"23868,36.75000,-77.85000"
"G0L,48.29407,-68.86690"
"77422,28.92720,-95.58340"
"78253,29.47960,-98.78700"
"72260,34.74630,-92.28940"
"08054,39.93580,-74.90910"
"N0G,43.66170,-80.84941"
"91915,32.62160,-116.93700"
"56185,43.77570,-95.83320"
"91921,32.64740,-117.05500"
"64198,39.10320,-94.58140"
"12528,41.69482,-74.05125"
"62766,39.77250,-89.60590"
"44455,40.77600,-80.61060"
"28756,35.34350,-82.17390"
"98801,47.42346,-120.31035"
"33563,28.01000,-82.14000"
"65803,37.32020,-93.29880"
"43501,41.66000,-84.43000"
"45441,39.64640,-84.16750"
"71266,32.71070,-91.48950"
"04862,44.25960,-69.25730"
